FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
313_Children_of_the_Night.txt           508                 342                 239                 166                 0.0105704s
314_Guide_to_Life_and_Literature_o.txt  992                 353                 290                 639                 0.0354837s
315_Rhymes_of_a_Red_Cross_Man.txt       661                 470                 257                 191                 0.0163542s
316_The_Golden_Road.txt                 1136                692                 327                 444                 0.0458358s
317_The_Culprit_Fay,_and_Other_Poe.txt  552                 329                 215                 223                 0.0093703s
318_John_Barleycorn.txt                 1153                790                 309                 363                 0.0435632s
319_The_Ways_of_Men.txt                 1371                767                 299                 604                 0.0484605s
31_Plays_of_Sophocles                   0                   0                   0                   0                   0.0000014s
320_Vida_De_Lazarillo_De_Tormes_Y_.txt  149                 34                  120                 115                 0.0121707s
321_Moran_of_the_Lady_Letty.txt         799                 529                 304                 270                 0.0315066s
322_St._Ives                            0                   0                   0                   0                   0.0000006s
323_Verses_1889-1896.txt                787                 619                 308                 168                 0.0367577s
324_A_Knight_of_the_Cumberland.txt      642                 314                 272                 328                 0.0146532s
325_Phantastes                          0                   0                   0                   0                   0.0000006s
326_Steep_Trails.txt                    1259                627                 309                 632                 0.0566861s
327_The_Princess_Aline.txt              686                 295                 264                 391                 0.0173333s
328_A_Heap_o'_Livin'.txt                731                 468                 263                 263                 0.0192167s
329_Island_Nights'_Entertainments.txt   745                 445                 290                 300                 0.0256688s
32_Herland.txt                          1168                580                 297                 588                 0.0357266s
330_Where_There's_a_Will.txt            815                 599                 284                 216                 0.0429549s
331_The_Mucker.txt                      1314                992                 336                 322                 0.0857444s
332_The_Burial_of_the_Guns.txt          930                 518                 301                 412                 0.0364033s
333_Robert_Louis_Stevenson.txt          622                 265                 242                 357                 0.0097952s
334_Episodes_in_Van_Bibber's_Life.txt   522                 232                 246                 290                 0.0125261s
335_Frances_Waldeaux                    0                   0                   0                   0                   0.0000005s
336_Indian_Heroes_and_Great_Chieft.txt  931                 498                 287                 433                 0.0281533s
337_Indian_Boyhood.txt                  995                 557                 305                 438                 0.0389455s
338_Old_Indian_Legends.txt              507                 272                 238                 235                 0.0133711s
339_Old_Indian_Days.txt                 991                 518                 303                 473                 0.0338927s
33_The_Scarlet_Letter.txt               1409                898                 343                 511                 0.0567664s
340_The_Soul_of_the_Indian              0                   0                   0                   0                   0.0000007s
341_Myths_and_Legends_of_the_Sioux.txt  672                 394                 285                 278                 0.0280279s
342_Margaret_Ogilvy.txt                 764                 385                 286                 379                 0.0212861s
343_Fables.txt                          439                 199                 245                 240                 0.0105022s
344_The_Merry_Men,_and_Other_Tales.txt  1311                887                 322                 424                 0.0509061s
345_Dracula.txt                         1383                971                 343                 412                 0.0986207s
346_The_Troll_Garden,_and_Selected.txt  1318                966                 323                 352                 0.0551598s
347_The_Saga_of_Grettir_the_Strong.txt  804                 542                 321                 262                 0.0452503s
348_Hesiod,_the_Homeric_Hymns,_and.txt  1112                669                 335                 443                 0.0569178s
349_The_Harvester.txt                   1363                837                 304                 526                 0.0767824s
34_Zen_and_the_Art_of_the_Interne.txt   587                 178                 274                 409                 0.0197863s
350_Fanny_Herself.txt                   1419                970                 316                 449                 0.0571688s
351_Of_Human_Bondage.txt                1721                1374                329                 347                 0.1611101s
352_Buttered_Side_Down                  0                   0                   0                   0                   0.0000005s
353_In_Flanders_Fields,_and_Other_.txt  802                 421                 295                 381                 0.0195355s
354_The_Story_of_a_Pioneer.txt          1304                706                 306                 598                 0.0582791s
355_The_Parasite                        0                   0                   0                   0                   0.0000015s
356_Beyond_the_City.txt                 905                 476                 277                 429                 0.0260490s
357_A_Dream_of_John_Ball;_and,_A_K.txt  621                 307                 301                 314                 0.0200629s
358_The_Scarlet_Car.txt                 626                 407                 246                 219                 0.0159195s
359_Good_Stories_for_Great_Holiday.txt  1218                697                 327                 521                 0.0538461s
35_The_Time_Machine.txt                 766                 526                 275                 240                 0.0243180s
361_Miss_Billy_—_Married.txt            1115                729                 318                 386                 0.0540230s
362_Miss_Billy's_Decision.txt           1052                629                 298                 423                 0.0493692s
363_The_Oakdale_Affair.txt              810                 548                 296                 262                 0.0302535s
364_The_Mad_King.txt                    1103                810                 302                 293                 0.0581732s
365_The_Land_of_Little_Rain.txt         829                 499                 288                 330                 0.0265852s
366_Bab                                 0                   0                   0                   0                   0.0000006s
367_The_Country_of_the_Pointed_Fir.txt  868                 412                 291                 456                 0.0306264s
368_Acres_of_Diamonds                   0                   0                   0                   0                   0.0000005s
369_The_Outlaw_of_Torn.txt              1009                785                 313                 224                 0.0366469s
36_The_War_of_the_Worlds.txt            916                 738                 297                 178                 0.0349734s
370_The_Fortunes_and_Misfortunes_o.txt  1048                713                 317                 335                 0.0760308s
371_Literary_Blunders                   0                   0                   0                   0                   0.0000011s
372_Prince_Otto,_a_Romance.txt          1190                841                 301                 349                 0.0420494s
373_Lay_Morals,_and_Other_Papers.txt    1482                1090                360                 392                 0.0548517s
374_Fantastic_Fables.txt                825                 484                 284                 341                 0.0212675s
375_An_Occurrence_at_Owl_Creek_Bri.txt  328                 127                 195                 201                 0.0047146s
376_A_Journal_of_the_Plague_Year        0                   0                   0                   0                   0.0000008s
377_Kansas_Women_in_Literature.txt      394                 83                  192                 311                 0.0067948s
378_The_White_Knight                    0                   0                   0                   0                   0.0000006s
379_Worldly_Ways_&_Byways.txt           1336                754                 314                 582                 0.0461293s
37_The_1990_United_States_Census_.txt   137                 29                  114                 108                 0.0124045s
380_Weir_of_Hermiston                   0                   0                   0                   0                   0.0000015s
381_Memories_and_Portraits.txt          1304                767                 312                 537                 0.0345555s
382_Edinburgh                           0                   0                   0                   0                   0.0000007s
383_She_Stoops_to_Conquer;_Or,_The.txt  676                 365                 249                 311                 0.0137217s
384_The_Lost_Prince.txt                 1082                589                 301                 493                 0.0500437s
385_The_Redheaded_Outfield,_and_Ot.txt  1003                631                 304                 372                 0.0291177s
386_Virginibus_Puerisque,_and_Othe.txt  1283                740                 304                 543                 0.0312439s
387_Vailima_Letters                     0                   0                   0                   0                   0.0000011s
388_The_Crossing.txt                    1590                1258                354                 332                 0.1164234s
389_The_Great_God_Pan.txt               595                 350                 272                 245                 0.0118169s
38_The_Jargon_File,_Version_2.9.1.txt   1582                1187                365                 395                 0.1219798s
390_A_Lute_of_Jade_                     0                   0                   0                   0                   0.0000025s
391_The_Song_of_Roland.txt              592                 337                 281                 255                 0.0203070s
392_Jerusalem_Delivered.txt             1090                850                 327                 240                 0.0804418s
393_The_Blue_Lagoon                     0                   0                   0                   0                   0.0000017s
394_Cranford.txt                        1107                647                 312                 460                 0.0503964s
395_The_Holy_War,_Made_by_King_Sha.txt  984                 690                 328                 294                 0.0672015s
397_L'Allegro,_Il_Penseroso,_Comus.txt  624                 346                 240                 278                 0.0101801s
398_The_First_Book_of_Adam_and_Eve.txt  495                 254                 263                 241                 0.0210112s
399_Cast_Upon_the_Breakers.txt          876                 433                 287                 443                 0.0373796s
39_Hitchhiker's_Guide_to_the_Inte.txt   315                 78                  210                 237                 0.0070779s
3_John_F._Kennedy's_Inaugural_Ad.txt    238                 69                  158                 169                 0.0028779s
400_Helen_of_Troy,_and_Other_Poems.txt  443                 207                 220                 236                 0.0088483s
401_Blix.txt                            975                 536                 305                 439                 0.0334552s
402_Penrod.txt                          1229                833                 316                 396                 0.0403450s
403_Soldiers_of_Fortune.txt             1041                629                 286                 412                 0.0486316s
404_Industrial_Biography                0                   0                   0                   0                   0.0000005s
405_Adventures_and_Letters_of_Rich.txt  1264                751                 330                 513                 0.0764192s
406_Appreciations_of_Richard_Hardi.txt  693                 224                 258                 469                 0.0108652s
407_The_Reporter_Who_Made_Himself_.txt  553                 241                 256                 312                 0.0125019s
408_The_Souls_of_Black_Folk.txt         1308                913                 315                 395                 0.0472852s
409_Poems_on_various_subjects,_rel.txt  689                 319                 224                 370                 0.0111376s
40_NorthWestNet_User_Services_Int.txt   8                   3                   17                  5                   0.0000657s
410_Hell_Fer_Sartain_and_Other_Sto.txt  409                 218                 250                 191                 0.0084115s
411_The_King's_Jackal.txt               731                 435                 269                 296                 0.0215549s
412_John_Jacob_Astor.txt                431                 119                 226                 312                 0.0063750s
413_Ballads.txt                         523                 302                 226                 221                 0.0120211s
414_The_Pageant_of_Summer.txt           391                 125                 214                 266                 0.0067785s
415_The_Bible_in_Spain                  0                   0                   0                   0                   0.0000005s
416_Winesburg,_Ohio                     0                   0                   0                   0                   0.0000003s
417_Dr._Martin_Luther's_Deutsche_G.txt  618                 280                 276                 338                 0.0152099s
418_A_Treatise_on_Good_Works.txt        773                 453                 298                 320                 0.0264565s
419_The_Magic_of_Oz.txt                 731                 354                 283                 377                 0.0236437s
41_The_Legend_of_Sleepy_Hollow.txt      615                 273                 234                 342                 0.0106926s
420_Dorothy_and_the_Wizard_in_Oz.txt    832                 448                 284                 384                 0.0237318s
421_Kidnapped.txt                       953                 667                 322                 286                 0.0469011s
422_The_Romany_Rye.txt                  1420                1017                351                 403                 0.0931128s
423_Round_the_Red_Lamp                  0                   0                   0                   0                   0.0000006s
424_General_William_Booth_Enters_i.txt  524                 287                 223                 237                 0.0079229s
425_Familiar_Studies_of_Men_and_Bo.txt  1611                1076                347                 535                 0.0659531s
426_Tales_and_Fantasies.txt             1028                724                 292                 304                 0.0328642s
427_The_Great_War_Syndicate.txt         673                 377                 275                 296                 0.0268016s
428_Frivolous_Cupid.txt                 879                 463                 294                 416                 0.0231044s
